time,open,high,low,close,EMA Fast,EMA Slow,EMA Trend,BB Upper,BB Lower,SAR,FVG Long,Multi-TF FVG Long,Long,Grid Arb,Volume
1760635500,190.14,190.85,189.82,190.61,190.06733000748196,189.8075105408668,191.29263786376418,188.80500000000333,185.83461618729055,187.75611800420998,0,0,0,0,3574.252
1760635800,190.59,191.17,190.07,190.25,190.10792333915262,189.85408837867027,191.25175010440088,188.89800000000332,185.8695112688305,187.96149269402054,0,0,0,0,7216.08
1760636100,190.22,190.37,189.75,189.82,190.0439403748965,189.85050012828393,191.1956030414832,189.00850000000332,186.0149851771174,188.1576255227896,0,0,0,0,5717.816
1760636400,189.8,189.81,188.88,189.25,189.86750918047505,189.78728958846457,191.11930488299365,189.11300000000335,186.2414631301725,188.34493237426406,0,0,0,0,6302.081
1760636700,189.24,189.68,188.94,189.54,189.7947293625917,189.7612591054683,191.05737135817037,189.17350000000334,186.31956745089911,188.52381041742217,0,0,0,0,3735.232
1760637000,189.62,189.62,188.81,189.14,189.64923394868245,189.69586341015585,190.98218032451663,189.23250000000334,186.43308666953,188.69463894863816,0,0,0,0,3622.905
1760637300,189.19,189.69,189.12,189.56,189.62940418230858,189.6815619985605,190.9264085470846,189.34300000000334,186.67831165146941,188.81,0,0,0,0,2799.223
1760637600,189.59,189.68,187.6,187.86,189.23620325290668,189.48981863029098,190.80615723151266,189.34900000000334,186.69827255365277,192.32,0,0,0,0,9872.262
1760637900,187.88,188.13,187.11,187.66,188.88593586337186,189.29720614289192,190.68277851655137,189.35000000000335,186.7018383744973,192.2492,0,0,0,0,7063.072
1760638200,187.74,187.85,186.88,187.6,188.6001723381781,189.11855286469276,190.5618852413925,189.39800000000335,186.91864040631685,192.095024,0,0,0,0,8264.151
1760638500,187.6,188.49,187.13,187.51,188.35791181858298,188.94923151051458,190.44220346722025,189.41000000000332,186.96994262468712,191.86034791999998,0,0,0,0,5859.329
1760638800,187.53,188.18,187.5,187.71,188.21393141445344,188.81878608835515,190.3350582332116,189.40150000000335,186.93910056149394,191.6362322636,0,0,0,0,4845.019
1760639100,187.73,187.87,187.14,187.68,188.09527998901933,188.6989138685283,190.23093830249744,189.35350000000335,186.7979313754491,191.422201811738,0,0,0,0,3953.178
1760639400,187.59,188.12,187.33,187.58,187.9807733247928,188.5811334613148,190.12697993769362,189.22500000000338,186.58548110544558,191.2178027302098,0,0,0,0,2915.598
1760639700,187.56,188.9,187.53,188.46,188.08726814150552,188.5683825706501,190.06160817543113,189.03700000000336,186.767920011376,191.02260160735037,0,0,0,0,6716.339
1760640000,188.4,189.68,188.4,189.21,188.33676411005985,188.63592124742377,190.0282117763946,189.00600000000335,186.7643274113348,190.8361845350196,0,0,0,0,8698.085
1760640300,189.25,189.79,188.73,188.85,188.45081653004655,188.6584558529581,189.9820073930066,188.93700000000337,186.76645076195106,190.65815623094372,0,0,0,0,7924.29
1760640600,188.83,189,188.34,188.93,188.55730174559176,188.68703944738357,189.94075220112398,188.91400000000337,186.7534130439233,190.48813920055125,0,0,0,0,3666.372
1760640900,188.91,189.38,188.68,189.32,188.72679024657137,188.75366687397477,189.9164089775505,188.83650000000335,186.85864990588206,190.32577293652645,0,0,0,0,3432.355
1760641200,189.36,189.46,187.8,188.42,188.65861463622218,188.7185440451353,189.85772627254852,188.74800000000337,186.86415712046121,190.17071315438275,0,0,0,0,7851.725
1760641500,188.48,189.13,188.16,188.37,188.59447805039503,188.68185519827895,189.7993840657819,188.63600000000335,186.95259393050273,190.02263106243552,0,0,0,0,3646.602
1760641800,188.36,188.64,187.29,187.48,188.34681626141835,188.5553441247759,189.7084278279081,188.49750000000336,186.91528794253526,189.88121266462593,0,0,0,0,5541.758
1760642100,187.49,187.78,187.01,187.01,188.04974598110317,188.39267632216792,189.60260712877445,188.35700000000335,186.77044272249668,189.74615809471777,0,0,0,0,4009.95
1760642400,187.01,187.48,185.75,187.36,187.89646909641357,188.2839735514134,189.51466175117545,188.26250000000337,186.67481143017417,189.61718098045546,0,0,0,0,10960.24
1760642700,187.31,187.38,186.23,186.43,187.57058707498834,188.0888184407383,189.39369462367839,188.10700000000338,186.44289543755642,189.38515012162813,0,0,0,0,7605.964
1760643000,186.46,186.76,185.44,185.77,187.17045661387982,187.84473228908163,189.2515889521616,187.9385000000034,186.05845452321648,189.16704111433043,0,0,0,0,10008.046
1760643300,185.71,186.32,183.63,184.57,186.59257736635098,187.50002362707303,189.06799722854743,187.6890000000034,185.44643985705554,188.88751303075566,0,0,0,0,15812.843
1760643600,184.56,185.53,184.51,185.25,186.2942268404952,187.26317903474956,188.91827184703575,187.5585000000034,185.07961900350912,188.41433685798765,0,0,0,0,7930.613
1760643900,185.17,185.66,184.12,185.62,186.1443986537185,187.0902128205654,188.78892785303435,187.4565000000034,184.83872785659935,187.98374654076875,0,0,0,0,8371.795
1760644200,185.6,186.74,185.32,186.13,186.14119895289215,186.98913778682166,188.6846561725232,187.3830000000034,184.7036485869244,187.59190935209955,0,0,0,0,11546.592
1760644500,186.07,186.31,184.87,185.19,185.929821407805,186.79975486189306,188.54761083242425,187.2670000000034,184.42381094636,187.2353375104106,0,0,0,0,5917.173
1760644800,185.21,186.11,184.89,184.93,185.70763887273722,186.60293856064115,188.40574374095664,187.1280000000034,184.11809900581858,186.91085713447364,0,0,0,0,5406.745
1760645100,184.9,185.43,184.66,185.24,185.60371912324007,186.45947134373156,188.28159692758578,187.00600000000338,183.8992434928357,186.615579992371,0,0,0,0,5357.805
1760645400,185.2,185.28,184.09,184.2,185.29178154029782,186.22163225491772,188.12153430297457,186.83700000000337,183.51336885397885,186.34687779305762,0,0,0,0,6793.923
1760645700,184.21,185.11,184.16,184.64,185.14694119800942,186.0551446491369,187.98500354599517,186.64600000000337,183.2786366405122,186.10235879168243,0,0,0,0,3779.047
1760646000,184.63,185.28,184.53,184.53,185.0098431540073,185.8946031071225,187.8495132108581,186.41200000000336,183.140794718332,185.87984650043103,0,0,0,0,4734.905
1760646300,184.52,184.75,183.72,184.27,184.8454335642279,185.72359225374117,187.70914014376564,186.18300000000337,182.98614467095896,185.67736031539224,0,0,0,0,5399.114
1760646600,184.28,184.52,182.31,182.38,184.29755943884393,185.37163517439998,187.50015425577482,185.8555000000034,182.51271388736376,185.49309788700694,0,0,0,0,15103.634
